job_id,job_title,company,category,location,employment_type,experience_level,salary_min,salary_max,skills,description,employer_name,company_email,company_phone,company_website,application_url
1,Mobile App Developer,Sunrise Enterprises,Information Technology,"Iloilo City, Philippines",Freelance,No Experience,15000,20000,"Flutter, Dart, Firebase","Develop, maintain, and improve technology solutions while working with the team on software and technical projects.",Sunrise Enterprises,hr@sunriseenterprises.example,+63 900 100 1000,https://www.sunriseenterprises.example,https://www.sunriseenterprises.example/apply/1
2,Tutor,Sunrise Enterprises,Education,Remote,Part-time,Mid Level,51000,56000,"Teaching, Communication, Subject Knowledge","Support student learning through lessons, activities, assessment, and effective communication.",Sunrise Enterprises,hr@sunriseenterprises.example,+63 900 101 1001,https://www.sunriseenterprises.example,https://www.sunriseenterprises.example/apply/2
3,Retail Sales Associate,GreenField Industries,Sales,"Tagum City, Philippines",Freelance,Experienced,28000,33000,"Customer Service, Sales, Product Knowledge","Assist customers, promote products or services, meet sales objectives, and maintain strong client relationships.",GreenField Industries,hr@greenfieldindustries.example,+63 900 102 1002,https://www.greenfieldindustries.example,https://www.greenfieldindustries.example/apply/3
4,Cybersecurity Analyst,Golden Bridge Corp.,Information Technology,"Cebu City, Philippines",Contract,Junior,19000,29000,"Linux, Networking, SIEM","Develop, maintain, and improve technology solutions while working with the team on software and technical projects.",Golden Bridge Corp.,hr@goldenbridgecorp.example,+63 900 103 1003,https://www.goldenbridgecorp.example,https://www.goldenbridgecorp.example/apply/4
5,Warehouse Worker,GreenField Industries,Logistics,"Davao City, Philippines",Freelance,No Experience,29000,37000,"Inventory, Packing, Warehouse Operations","Handle inventory, shipments, and warehouse operations while maintaining organized logistics processes.",GreenField Industries,hr@greenfieldindustries.example,+63 900 104 1004,https://www.greenfieldindustries.example,https://www.greenfieldindustries.example/apply/5
6,Bookkeeper,NorthPoint Company,Accounting & Finance,"Cebu City, Philippines",Contract,Experienced,51000,59000,"Bookkeeping, QuickBooks, Excel","Handle financial records, prepare reports, and support accurate and organized accounting operations.",NorthPoint Company,hr@northpointcompany.example,+63 900 105 1005,https://www.northpointcompany.example,https://www.northpointcompany.example/apply/6
7,Administrative Assistant,Sunrise Enterprises,Administration,"Surigao City, Philippines",Part-time,Experienced,46000,51000,"Microsoft Office, Organization, Communication","Provide administrative support, organize documents, coordinate schedules, and assist with daily office operations.",Sunrise Enterprises,hr@sunriseenterprises.example,+63 900 106 1006,https://www.sunriseenterprises.example,https://www.sunriseenterprises.example/apply/7
8,Sales Manager,BlueSky Holdings,Sales,"Surigao City, Philippines",Freelance,No Experience,19000,29000,"Leadership, Sales, CRM","Assist customers, promote products or services, meet sales objectives, and maintain strong client relationships.",BlueSky Holdings,hr@blueskyholdings.example,+63 900 107 1007,https://www.blueskyholdings.example,https://www.blueskyholdings.example/apply/8
9,Real Estate Agent,Community First,Sales,"Butuan City, Philippines",Part-time,No Experience,27000,32000,"Real Estate, Negotiation, Communication","Assist customers, promote products or services, meet sales objectives, and maintain strong client relationships.",Community First,hr@communityfirst.example,+63 900 108 1008,https://www.communityfirst.example,https://www.communityfirst.example/apply/9
10,Caregiver,GlobalWorks Inc.,Healthcare,"General Santos, Philippines",Full-time,Experienced,20000,28000,"Elderly Care, First Aid, Communication","Provide professional healthcare support, assist patients, and maintain accurate records while following safety procedures.",GlobalWorks Inc.,hr@globalworksinc.example,+63 900 109 1009,https://www.globalworksinc.example,https://www.globalworksinc.example/apply/10
11,Dispatcher,Golden Bridge Corp.,Transportation,"General Santos, Philippines",Part-time,Junior,46000,61000,"Dispatching, Communication, Logistics","Support transportation and delivery operations while maintaining safety, schedules, and accurate records.",Golden Bridge Corp.,hr@goldenbridgecorp.example,+63 900 110 1010,https://www.goldenbridgecorp.example,https://www.goldenbridgecorp.example/apply/11
12,High School Teacher,Prime Services,Education,"Iloilo City, Philippines",Part-time,Junior,38000,48000,"Teaching, Classroom Management, Communication","Support student learning through lessons, activities, assessment, and effective communication.",Prime Services,hr@primeservices.example,+63 900 111 1011,https://www.primeservices.example,https://www.primeservices.example/apply/12
13,Sales Representative,Citywide Solutions,Sales,"Iloilo City, Philippines",Freelance,No Experience,28000,36000,"Sales, Communication, Customer Service","Assist customers, promote products or services, meet sales objectives, and maintain strong client relationships.",Citywide Solutions,hr@citywidesolutions.example,+63 900 112 1012,https://www.citywidesolutions.example,https://www.citywidesolutions.example/apply/13
14,Logistics Coordinator,GlobalWorks Inc.,Transportation,"Surigao City, Philippines",Full-time,Experienced,48000,56000,"Logistics, Inventory, Organization","Support transportation and delivery operations while maintaining safety, schedules, and accurate records.",GlobalWorks Inc.,hr@globalworksinc.example,+63 900 113 1013,https://www.globalworksinc.example,https://www.globalworksinc.example/apply/14
15,Retail Sales Associate,BlueSky Holdings,Sales,"Cagayan de Oro, Philippines",Full-time,No Experience,53000,58000,"Customer Service, Sales, Product Knowledge","Assist customers, promote products or services, meet sales objectives, and maintain strong client relationships.",BlueSky Holdings,hr@blueskyholdings.example,+63 900 114 1014,https://www.blueskyholdings.example,https://www.blueskyholdings.example/apply/15
16,Farm Worker,Prime Services,Agriculture,"Cebu City, Philippines",Full-time,Junior,16000,24000,"Farming, Harvesting, Equipment","Assist with agricultural operations, equipment, production activities, and routine farm tasks.",Prime Services,hr@primeservices.example,+63 900 115 1015,https://www.primeservices.example,https://www.primeservices.example/apply/16
17,Office Clerk,Pacific Horizon Corp.,Administration,Remote,Freelance,Entry Level,47000,55000,"Data Entry, Organization, Microsoft Office","Provide administrative support, organize documents, coordinate schedules, and assist with daily office operations.",Pacific Horizon Corp.,hr@pacifichorizoncorp.example,+63 900 116 1016,https://www.pacifichorizoncorp.example,https://www.pacifichorizoncorp.example/apply/17
18,Farm Supervisor,Evergreen Services,Agriculture,"Baguio City, Philippines",Freelance,Entry Level,42000,57000,"Agriculture, Leadership, Farm Management","Assist with agricultural operations, equipment, production activities, and routine farm tasks.",Evergreen Services,hr@evergreenservices.example,+63 900 117 1017,https://www.evergreenservices.example,https://www.evergreenservices.example/apply/18
19,Digital Marketing Specialist,Prime Services,Marketing,"Cebu City, Philippines",Full-time,Mid Level,35000,50000,"SEO, Social Media, Google Analytics","Support marketing campaigns, create content, analyze audiences, and help improve brand visibility.",Prime Services,hr@primeservices.example,+63 900 118 1018,https://www.primeservices.example,https://www.primeservices.example/apply/19
20,Payroll Specialist,GreenField Industries,Accounting & Finance,"General Santos, Philippines",Full-time,No Experience,15000,30000,"Payroll, Excel, Accounting","Handle financial records, prepare reports, and support accurate and organized accounting operations.",GreenField Industries,hr@greenfieldindustries.example,+63 900 119 1019,https://www.greenfieldindustries.example,https://www.greenfieldindustries.example/apply/20
21,Data Analyst,Evergreen Services,Information Technology,"Surigao City, Philippines",Full-time,Entry Level,24000,32000,"SQL, Excel, Power BI","Develop, maintain, and improve technology solutions while working with the team on software and technical projects.",Evergreen Services,hr@evergreenservices.example,+63 900 120 1020,https://www.evergreenservices.example,https://www.evergreenservices.example/apply/21
22,Frontend Developer,NorthPoint Company,Information Technology,"General Santos, Philippines",Part-time,Mid Level,24000,34000,"React, JavaScript, CSS","Develop, maintain, and improve technology solutions while working with the team on software and technical projects.",NorthPoint Company,hr@northpointcompany.example,+63 900 121 1021,https://www.northpointcompany.example,https://www.northpointcompany.example/apply/22
23,HR Assistant,Citywide Solutions,Human Resources,"Cagayan de Oro, Philippines",Full-time,Mid Level,48000,53000,"Recruitment, Communication, Microsoft Office","Support employee-related activities including recruitment, training, records, and workplace communication.",Citywide Solutions,hr@citywidesolutions.example,+63 900 122 1022,https://www.citywidesolutions.example,https://www.citywidesolutions.example/apply/23
24,Registered Nurse,BrightStar Solutions,Healthcare,Remote,Full-time,No Experience,27000,35000,"Patient Care, Nursing, Communication","Provide professional healthcare support, assist patients, and maintain accurate records while following safety procedures.",BrightStar Solutions,hr@brightstarsolutions.example,+63 900 123 1023,https://www.brightstarsolutions.example,https://www.brightstarsolutions.example/apply/24
25,Chef,GreenField Industries,Hospitality,"General Santos, Philippines",Freelance,Entry Level,38000,43000,"Cooking, Food Safety, Kitchen Management",Provide friendly customer service and help maintain efficient daily hospitality operations.,GreenField Industries,hr@greenfieldindustries.example,+63 900 124 1024,https://www.greenfieldindustries.example,https://www.greenfieldindustries.example/apply/25
26,Accountant,Sunrise Enterprises,Accounting & Finance,"Tagum City, Philippines",Full-time,Mid Level,29000,44000,"Accounting, Excel, Bookkeeping","Handle financial records, prepare reports, and support accurate and organized accounting operations.",Sunrise Enterprises,hr@sunriseenterprises.example,+63 900 125 1025,https://www.sunriseenterprises.example,https://www.sunriseenterprises.example/apply/26
27,Database Administrator,Pacific Horizon Corp.,Information Technology,"Tagum City, Philippines",Freelance,Entry Level,24000,34000,"SQL, MySQL, Database Management","Develop, maintain, and improve technology solutions while working with the team on software and technical projects.",Pacific Horizon Corp.,hr@pacifichorizoncorp.example,+63 900 126 1026,https://www.pacifichorizoncorp.example,https://www.pacifichorizoncorp.example/apply/27
28,Web Developer,Prime Services,Information Technology,"Manila, Philippines",Full-time,Junior,15000,20000,"HTML, CSS, JavaScript","Develop, maintain, and improve technology solutions while working with the team on software and technical projects.",Prime Services,hr@primeservices.example,+63 900 127 1027,https://www.primeservices.example,https://www.primeservices.example/apply/28
29,Financial Analyst,BlueSky Holdings,Accounting & Finance,"General Santos, Philippines",Part-time,No Experience,45000,50000,"Financial Analysis, Excel, Reporting","Handle financial records, prepare reports, and support accurate and organized accounting operations.",BlueSky Holdings,hr@blueskyholdings.example,+63 900 128 1028,https://www.blueskyholdings.example,https://www.blueskyholdings.example/apply/29
30,Mobile App Developer,Central Retail Group,Information Technology,"Davao City, Philippines",Full-time,Experienced,16000,24000,"Flutter, Dart, Firebase","Develop, maintain, and improve technology solutions while working with the team on software and technical projects.",Central Retail Group,hr@centralretailgroup.example,+63 900 129 1029,https://www.centralretailgroup.example,https://www.centralretailgroup.example/apply/30
31,Digital Marketing Specialist,GreenField Industries,Marketing,"Cebu City, Philippines",Part-time,Experienced,50000,55000,"SEO, Social Media, Google Analytics","Support marketing campaigns, create content, analyze audiences, and help improve brand visibility.",GreenField Industries,hr@greenfieldindustries.example,+63 900 130 1030,https://www.greenfieldindustries.example,https://www.greenfieldindustries.example/apply/31
32,Account Executive,BlueSky Holdings,Sales,"Cebu City, Philippines",Freelance,Experienced,49000,59000,"Sales, Negotiation, CRM","Assist customers, promote products or services, meet sales objectives, and maintain strong client relationships.",BlueSky Holdings,hr@blueskyholdings.example,+63 900 131 1031,https://www.blueskyholdings.example,https://www.blueskyholdings.example/apply/32
33,Copywriter,Community First,Writing & Media,"Butuan City, Philippines",Part-time,Junior,27000,37000,"Copywriting, Marketing, Writing","Research, write, edit, and prepare clear content for audiences across different media platforms.",Community First,hr@communityfirst.example,+63 900 132 1032,https://www.communityfirst.example,https://www.communityfirst.example/apply/33
34,Backend Developer,GreenField Industries,Information Technology,"Davao City, Philippines",Contract,Mid Level,32000,37000,"Python, FastAPI, PostgreSQL","Develop, maintain, and improve technology solutions while working with the team on software and technical projects.",GreenField Industries,hr@greenfieldindustries.example,+63 900 133 1033,https://www.greenfieldindustries.example,https://www.greenfieldindustries.example/apply/34
35,Marketing Assistant,BrightStar Solutions,Marketing,"General Santos, Philippines",Full-time,No Experience,47000,55000,"Marketing, Social Media, Communication","Support marketing campaigns, create content, analyze audiences, and help improve brand visibility.",BrightStar Solutions,hr@brightstarsolutions.example,+63 900 134 1034,https://www.brightstarsolutions.example,https://www.brightstarsolutions.example/apply/35
36,Journalist,NorthPoint Company,Writing & Media,"Butuan City, Philippines",Part-time,Junior,16000,24000,"Writing, Research, Interviewing","Research, write, edit, and prepare clear content for audiences across different media platforms.",NorthPoint Company,hr@northpointcompany.example,+63 900 135 1035,https://www.northpointcompany.example,https://www.northpointcompany.example/apply/36
